,locID,lat,lon,data
2112,1051223,36.89,-80.58,121407.6344942645
2113,1084667,37.49,-79.14,122533.20324439046
2114,1133491,38.85,-77.38,114672.91735180448
2115,1133710,37.57,-77.38,119036.1271470585
2116,1123196,38.97,-77.7,115005.04367819808
2117,1008453,36.97,-82.58,115891.57887199493
2118,1090501,37.17,-78.9,123960.94845135321
2119,1064679,37.93,-79.98,115507.77724232226
2120,1038378,37.05,-81.14,117080.2395687749
2121,1117143,37.53,-77.9,121244.13920502953
2122,1007506,36.69,-82.62,119235.18622654946
2123,1117051,38.13,-77.9,119213.76305880064
2124,1062283,37.01,-80.1,121292.65588890277
2125,1182985,37.45,-75.9,123222.13199803677
2126,1022865,36.81,-81.86,117865.45719792519
2127,1157159,36.97,-76.66,122460.00160554955
2128,1101055,37.09,-78.5,123935.5421960584
2129,1069864,38.09,-79.78,116593.10572510767
2130,1120984,37.17,-77.78,122038.90990279021
2131,1132182,37.81,-77.42,119422.73114649008
2132,998835,36.61,-83.02,119113.13199449876
2133,1142168,38.77,-77.14,116288.6704767194
2134,1167353,37.09,-76.34,120994.41284485182
2135,1108844,39.01,-78.22,115549.0340063836
2136,1055284,37.29,-80.42,117966.72539982296
2137,1067768,37.09,-79.86,121778.08600331383
2138,1162171,37.17,-76.5,121247.59039293906
2139,1014032,37.13,-82.3,115678.37700842606
2140,1011858,36.97,-82.42,115153.62926857868
2141,1049956,36.73,-80.62,120658.13985966699
2142,1113225,38.37,-78.06,119319.63167324728
2143,1094834,37.73,-78.74,120411.20496066357
2144,1028408,36.81,-81.62,118464.79320252882
2145,1041719,37.09,-81.02,116537.65390949948
2146,1124202,36.93,-77.7,122200.64463217393
2147,1140965,38.21,-77.18,117828.06069351746
2148,1140177,36.61,-77.18,123818.61572479915
2149,1159315,36.77,-76.58,121981.63934651672
2150,1027904,37.01,-81.62,114345.32575966044
2151,1051766,36.89,-80.54,121266.0040861303
2152,1134866,38.85,-77.34,115151.65044840766
2153,1161668,37.97,-76.54,121162.12628347403
2154,997596,36.69,-83.1,118403.46216100646
2155,1150863,37.53,-76.86,119519.34145114699
2156,1182194,37.17,-75.9,121420.60998039333
2157,1130632,38.49,-77.5,117269.9879555692
2158,1146718,37.61,-76.98,120302.55079732435
2159,1162251,36.81,-76.5,122241.07507713827
2160,1127326,38.93,-77.58,115360.32900330215
2161,1101777,36.97,-78.46,123682.99722081012
2162,1101054,37.77,-78.5,120685.18236559768
2163,1087330,37.45,-79.02,122031.78005870708
2164,1036115,36.77,-81.26,118790.30794495533
2165,1162085,37.61,-76.5,118705.96855412869
2166,1135028,38.09,-77.34,118034.34016305668
2167,1016286,37.05,-82.18,116273.28273406267
2168,1021336,36.93,-81.94,115320.1744409616
2169,1190396,37.57,-75.66,120801.90767632626
2170,1091412,37.73,-78.86,120473.99747953807
2171,1176206,36.73,-76.1,121628.92191655368
2172,1123709,37.57,-77.7,119982.3673931793
2173,1097344,37.69,-78.62,121300.56889045594
2174,1072793,37.05,-79.66,121306.70678429419
2175,1080219,38.33,-79.34,118161.88818964073
2176,1075870,36.57,-79.54,124221.74445453373
2177,1186837,37.65,-75.78,123546.48242616968
2178,1079933,37.97,-79.34,119531.97816837828
2179,1062296,37.29,-80.1,118751.39960671129
2180,1070409,37.81,-79.74,116521.45999526429
2181,1179782,37.81,-75.98,119566.27017246012
2182,1075862,37.05,-79.54,122451.853100794
2183,1163310,36.69,-76.46,120999.4426524377
2184,1073356,37.45,-79.62,121077.59826115642
2185,1075904,36.97,-79.54,123066.78285030287
2186,1093695,38.49,-78.78,117500.96115737488
2187,1093104,38.89,-78.78,113305.05375324206
2188,1098843,37.41,-78.58,122804.7955299434
2189,1126494,36.81,-77.62,121957.98677795226
2190,1091423,37.69,-78.86,121675.97323276341
2191,1108650,39.21,-78.22,113590.38588496111
2192,1168551,37.05,-76.3,121706.06248272875
2193,1083533,37.45,-79.18,121474.24157476655
2194,1089868,38.53,-78.94,117992.1990864701
2195,1031579,36.73,-81.46,117927.3964310595
2196,1014540,37.25,-82.26,114073.54438207041
2197,1142768,37.85,-77.1,119510.03401501896
2198,1074255,38.33,-79.58,117636.5196294613
2199,1082376,37.33,-79.22,123160.20255527695
2200,1059948,36.77,-80.18,120446.4731591922
2201,1100751,38.05,-78.5,118535.44132828088
2202,1128307,37.05,-77.54,121269.6028534831
2203,1073023,38.25,-79.66,117031.99687937502
2204,1162509,36.97,-76.5,119058.95720155127
2205,1111660,36.69,-78.1,124152.21589451938
2206,1084672,37.61,-79.14,122086.5946895977
2207,1029280,36.97,-81.58,116349.39358677033
2208,1131566,37.89,-77.46,119193.06399631694
2209,1141741,37.89,-77.14,120363.98573405565
2210,1119272,38.93,-77.86,115791.4330582382
2211,1105722,36.85,-78.3,123545.21102346898
2212,1135146,37.85,-77.34,119326.19318107159
2213,1118695,37.33,-77.86,121272.81085706437
2214,1070468,37.73,-79.74,117794.16361458907
2215,1087315,37.41,-79.02,122465.86075601062
2216,1148462,38.13,-76.94,119216.43899228043
2217,1099868,38.25,-78.54,118065.0144558017
2218,1147946,37.09,-76.94,122070.942890828
2219,1114850,37.21,-77.98,122041.19175355475
2220,1086362,38.45,-79.06,117662.28382763233
2221,1131215,38.81,-77.46,114792.9662570538
2222,1123672,37.65,-77.7,120773.70714050168
2223,1012321,36.77,-82.38,119800.99239541552
2224,1097347,37.73,-78.62,120462.17794695185
2225,1087311,38.29,-79.02,121165.39720908101
2226,1080944,37.45,-79.3,122129.97935611715
2227,1124650,38.33,-77.66,117890.37668370223
2228,1085110,38.33,-79.14,119775.64845670699
2229,1183649,36.65,-75.86,120733.32315636202
2230,1139293,38.33,-77.22,115985.63511862974
2231,1142902,36.93,-77.1,121992.29560792488
2232,1030411,36.77,-81.5,117118.83334154499
2233,1122349,39.29,-77.74,114068.67654750742
2234,1078308,36.93,-79.42,123362.50038587739
2235,1099290,37.25,-78.54,123153.57639083
2236,1011677,37.09,-82.42,115726.02113904632
2237,1093820,36.65,-78.78,123662.313982755
2238,1187983,37.61,-75.74,122235.50406450343
2239,1136102,37.93,-77.3,119000.17178383528
2240,1166288,37.73,-76.38,122152.83335646748
2241,1068942,37.13,-79.82,122434.15176378634
2242,1098325,38.81,-78.58,115272.19530709615
2243,1014528,36.69,-82.26,119249.1255949171
2244,1022862,36.65,-81.86,119071.79416562476
2245,1024264,36.97,-81.82,115697.10726372134
2246,1073377,38.29,-79.62,117225.09652927471
2247,1098204,38.61,-78.58,117382.05573976586
2248,1152379,36.73,-76.82,124063.76403030948
2249,1098772,37.37,-78.58,122448.72988191189
2250,1060259,36.61,-80.18,121886.7554832165
2251,1158351,37.13,-76.62,119668.38211232147
2252,1180923,36.57,-75.94,120137.36244538602
2253,1133706,37.65,-77.38,119334.0214071832
2254,1154902,36.57,-76.74,123044.1260480269
2255,1122539,38.61,-77.74,117450.77945329681
2256,1138083,37.81,-77.26,120059.10070485291
2257,1145366,38.05,-77.02,119418.51383207459
2258,1048735,36.81,-80.7,121135.73891104886
2259,986471,36.61,-83.62,116730.00174797188
2260,1138977,38.73,-77.22,117067.0348335345
2261,1069358,36.85,-79.78,122914.69790671942
2262,1186836,37.53,-75.78,121745.9736631481
2263,1128032,38.45,-77.58,117995.0456775595
2264,1019195,37.17,-82.06,114219.32275313023
2265,1119200,39.05,-77.86,115536.22728510847
2266,1015492,36.81,-82.22,118416.21860796421
2267,1174972,37.53,-76.14,121366.30821334869
2268,1178385,36.93,-76.02,121348.60207388381
2269,1144136,36.69,-77.06,121964.11539676295
2270,1083595,36.73,-79.18,123554.75181282792
2271,1086421,37.29,-79.06,122772.61994804164
2272,1041102,36.89,-81.02,120091.81610116425
2273,1130380,37.17,-77.5,122420.46462154193
2274,1177029,37.89,-76.06,120291.84731980317
2275,1146735,37.73,-76.98,120203.43457092265
2276,1112237,36.77,-78.1,123530.4375693301
2277,1096815,36.73,-78.66,123141.1285207496
2278,1118626,38.25,-77.86,118777.69381104095
2279,1153823,36.69,-76.78,123320.63411240128
2280,1116469,38.57,-77.94,117045.03970642226
2281,1046621,36.65,-80.78,120502.37885814912
2282,1115612,36.61,-77.98,124310.32690274029
2283,1104257,37.65,-78.38,120060.15956805383
2284,1104378,39.01,-78.38,114500.86256266106
2285,1155392,37.97,-76.7,119961.31621843818
2286,1093083,37.53,-78.82,121762.56827518638
2287,1091581,37.25,-78.86,124201.18057954602
2288,1036963,36.93,-81.22,119329.75693391806
2289,1121112,38.45,-77.78,117862.26251649087
2290,1122803,39.13,-77.74,115051.75695889797
2291,1176757,37.45,-76.06,121388.47865703188
2292,1187121,37.45,-75.78,120983.50449291621
2293,1086018,37.01,-79.1,122898.14642828554
2294,1124917,37.25,-77.66,121874.97533380054
2295,1111563,37.29,-78.1,121562.35486654015
2296,1062204,37.53,-80.1,116228.95373630144
2297,1161205,36.77,-76.54,121398.98976464178
2298,1135189,38.17,-77.34,117858.07612364436
2299,1040372,36.69,-81.06,119077.46708852024
2300,1124247,38.13,-77.7,119513.78904294675
2301,1148431,37.77,-76.94,120125.52424868383
2302,1063434,37.09,-80.06,120492.77915048641
2303,1075879,38.37,-79.54,116365.40365523948
2304,1090565,37.65,-78.9,121478.97202366509
2305,1059383,36.57,-80.22,122821.5208178785
2306,1043308,36.61,-80.94,121360.57896800194
2307,1113453,38.33,-78.06,118986.86111853707
2308,1079918,37.57,-79.34,120411.16496883167
2309,1074892,36.73,-79.58,123625.27527022094
2310,1057806,36.77,-80.3,120220.50264121387
2311,1138174,36.73,-77.26,123224.94070622593
2312,1150616,38.17,-76.86,117172.38591248331
2313,1081670,37.37,-79.26,122026.54622223464
2314,1117253,39.05,-77.9,115894.94110500586
2315,1169301,36.77,-76.3,119987.63735542847
2316,1060687,37.33,-80.18,117180.72212722707
2317,1158426,37.09,-76.62,119347.16736006168
2318,1111053,38.49,-78.14,117324.826329486
2319,1136019,38.57,-77.34,116779.37432791948
2320,1056366,36.93,-80.34,121303.9332676447
2321,1071543,37.81,-79.7,117539.89968060156
2322,1120309,38.85,-77.82,116447.29886647698
2323,1113656,37.17,-78.02,122620.78580922983
2324,1061996,37.65,-80.1,115560.87266696231
2325,1050296,37.33,-80.62,115371.21748890914
2326,1150033,36.93,-76.86,121754.68328968856
